"","rider_id","avg_assign","avg_pickup","avg_deliver","avg_waiting","avg_ODdist","daily_delivered_stores","daily_franchise_share","num_working_days","share_weekdays","tenure","avg_order_level","Treat","avg_orders_shift","avg_duration_shift","median_idle_shift","prof","prof30","prof50","prof70","prof90","prof_low","prof_med","prof_high","avg_total_shift","avg_share_aggshift","avg_orders_aggshift","avg_duration_aggshift","avg_working_duration","avg_idle_duration","daily_total_order","avg_share_workingd","avg_share_idled","avg_orders_per_workingd","avg_daily_profit","distance","weights","subclass"
"185",36367,43.9581497797357,869.464757709251,436.235682819383,1349.65859030837,0.814554972470271,10.36,0.409138195138195,6.33333333333333,0.676190476190476,388,6136.82960922829,1,3.5748031496063,2416.8188976378,13.4583333333333,5.09196842500424,1,0,0,0,1,0,0,5.08,0.809142857142857,4.444,2927.91133333333,12277.44,506.130666666667,18.16,0.957338160293644,0.0426618397063557,5.09196842500424,53338,0.8506753331891,1,"31"
"186",36388,132.148026315789,742.419407894737,683.912828947368,1558.48026315789,1.39770740662205,6.20689655172414,0.335632183908046,6.66666666666667,0.698412698412698,387,3887.14374748222,0,4.28169014084507,2308.45070422535,31,6.1424438028551,1,1,1,0,1,1,1,4.89655172413793,0.790024630541872,5.02561728395062,2771.44958847737,11303.4482758621,649.654597701149,20.9655172413793,0.959545286894645,0.040454713105355,6.1424438028551,66874.1379310345,0.66392161347065,1,"118"
"187",36479,62.0988319856244,180.143755615454,470.619047619048,712.861635220126,1.18402860979317,21.3571428571429,0.232524020517333,6.33333333333333,0.682539682539683,385,3935.59557521441,1,1.66616766467066,732.046407185629,307.5,5.45440577245713,1,1,0,0,1,1,0,23.8571428571429,0.466905682391423,2.38164657425355,958.635955527469,17464.5357142857,9523.5494047619,39.75,0.669474031704515,0.330525968295484,5.45440577245713,119700,0.669067058015873,1,"32"
"190",36919,199.2125,551.3734375,543.3734375,1293.959375,1.11109327466187,16.8695652173913,0.261672738155178,5.66666666666667,0.626984126984127,377,3945.03054869597,1,3.2,2073.405,186,4.91463873776046,1,0,0,0,1,0,0,8.69565217391304,0.685920601137992,4.37581090407177,2858.02888198758,18029.6086956522,1884.42826086957,27.8260869565217,0.916935891943599,0.0830641080564011,4.91463873776046,82152.1739130435,0.80052892642229,1,"33"
"191",37076,73.7710997442455,552.052429667519,484.248081841432,1110.0716112532,0.858275995773882,25.8,0.275746369672307,5.33333333333333,0.611111111111111,376,4862.47741863553,1,4.14854111405836,1950.87533156499,211,6.71724447577826,1,1,1,1,1,1,1,15.08,0.826277149534183,4.94548762348762,2261.20390942391,29419.2,4003.16666666667,62.56,0.882032132418522,0.117967867581478,6.71724447577826,179108,0.730133478136538,1,"34"
"192",37184,94.3855421686747,135.684337349398,400.650602409639,630.720481927711,1.19356623859372,13.44,0.158158612629201,5.66666666666667,0.644444444444444,375,4040.30036758097,0,1.40202702702703,593.341216216216,127,6.26872263240073,1,1,1,0,1,1,1,11.84,0.35624975024975,2.16638095238095,794.138761904762,7025.16,2674.07733333333,16.6,0.741727147827768,0.258272852172232,6.26872263240073,49768,0.378737613429609,1,"66"
"193",37338,44.5974025974026,226.246753246753,348.818181818182,619.662337662338,1.59439436815024,1.63636363636364,0.0909090909090909,4.66666666666667,0.805555555555556,372,4636.04151811872,1,1.02666666666667,573.986666666667,38.55,6.17128023949914,1,1,1,0,1,1,1,3.40909090909091,0.0265151515151515,2,722,1956.77272727273,249.989482323232,3.5,0.922632966287675,0.0773670337123247,6.17128023949914,9531.81818181818,0.365939703389006,1,"35"
"198",37802,51.933908045977,352.617816091954,474.140804597701,878.692528735632,1.33515493697244,19.1538461538462,0.145482094239886,6.5,0.69047619047619,365,3278.88906948993,1,1.94413407821229,1057.50837988827,164,5.70986071484547,1,1,1,0,1,1,1,13.7692307692308,0.468408554790297,2.81487545431396,1376.14609868741,14561.0769230769,3848.21153846154,26.7692307692308,0.820410085197522,0.179589914802478,5.70986071484547,77384.6153846154,0.594339553545129,1,"36"
"199",38131,74.3124018838305,232.062794348509,486.612244897959,792.987441130298,1.06534140528136,16.4583333333333,0.201128656309577,5.66666666666667,0.644444444444444,360,4672.37999466743,1,1.82521489971347,897.962750716332,184,5.58521257876389,1,1,0,0,1,1,0,14.5416666666667,0.477507378476133,2.7771164021164,1285.57063492064,13057.875,4066.87222222222,26.5416666666667,0.763901547775949,0.236098452224051,5.58521257876389,79429.1666666667,0.554293637090937,1,"37"
"200",38186,56.4805194805195,583.082251082251,631.911255411255,1271.47402597403,1.20325550586936,7.76923076923077,0.386032023532024,5.66666666666667,0.711111111111111,357,4952.29642510145,0,4.52941176470588,2291.43137254902,14,6.75877335544754,1,1,1,1,1,1,1,3.92307692307692,0.869230769230769,6.53589743589744,3192.78012820513,8989.46153846154,564.028205128205,17.7692307692308,0.949977196549774,0.0500228034502258,6.75877335544754,54809.6153846154,0.532116502865937,1,"13"
"204",38507,52.7184986595174,610.734584450402,524.069705093834,1187.52278820375,0.98680206306757,12.15,0.202695013320013,4,0.588888888888889,353,4513.90670881801,1,2.30246913580247,1606.08024691358,56,4.62947357391974,0,0,0,0,0,0,0,8.1,0.592086442968796,3.09181607865818,2096.34030267978,13009.25,1296.39486111111,18.65,0.924108348156009,0.0758916518439907,4.62947357391974,54020,0.719164862095256,1,"39"
"205",38694,63.3762486126526,249.177580466149,474.518312985572,787.072142064373,1.09282201612936,22.24,0.198606102048263,5.66666666666667,0.644444444444444,348,4199.08494142028,1,1.91295116772824,914.492569002123,197,5.73631760160159,1,1,1,0,1,1,1,18.84,0.517331675997136,2.72577977577978,1194.81092052392,17229.04,5424.042,36.04,0.770003680165327,0.229996319834673,5.73631760160159,108012,0.535997513323857,1,"40"
"206",38734,97.0199778024417,708.725305216426,616.975582685905,1422.72086570477,0.960142805347321,37.6428571428571,0.346195848801253,6.66666666666667,0.698412698412698,347,4731.3346880731,1,6.90421455938697,3612.25670498084,93,6.43821777737552,1,1,1,0,1,1,1,9.32142857142857,0.853145037919474,8.40747437086723,4386.40224477903,33671.3928571429,1943.69107142857,64.3571428571429,0.94517381141383,0.0548261885861697,6.43821777737552,186544.642857143,0.944955172236486,1,"41"
"207",38766,46.0054127198917,197.539918809202,466.414073071719,709.959404600812,0.978440848442031,20.1923076923077,0.190100045375583,6,0.726190476190476,347,5161.8487886924,1,1.69107551487414,814.796338672769,301,5.24203921740657,1,1,0,0,1,1,0,16.8076923076923,0.439586836452162,2.63197496947497,1145.43495115995,13694.8461538462,6165.64294871795,28.4230769230769,0.701882815952529,0.298117184047471,5.24203921740657,85061.5384615385,0.631410653679915,1,"42"
"213",40051,62.3394437420986,439.226927939317,519.362199747156,1020.92857142857,1.00697839379275,22.1724137931034,0.409031354344619,6.66666666666667,0.698412698412698,320,4776.16432983932,1,2.31286549707602,1300.62134502924,289.5,4.94108949545788,1,0,0,0,1,0,0,23.5862068965517,0.612366314522262,3.17431056378825,1713.68401459933,30676.724137931,8911.58620689655,54.551724137931,0.774984285353177,0.225015714646824,4.94108949545788,151944.827586207,0.905813294442741,1,"43"
"215",40518,58.9353448275862,483.793103448276,409.452586206897,952.181034482759,1.09215558928504,5.66666666666667,0.264935064935065,5.33333333333333,0.805555555555556,312,3978.60173631994,0,1.8125,1085.578125,29.325,5.88832957217327,1,1,1,0,1,1,1,5.33333333333333,0.456371753246753,2.82380952380952,1475.55317460317,5789.75,583.677777777778,9.66666666666667,0.937423690700045,0.0625763092999549,5.88832957217327,26704.1666666667,0.531372691858527,1,"83"
"217",40659,60.4423076923077,194.744755244755,511.375874125874,766.562937062937,1.04660881416634,19.0526315789474,0.192082937737774,4.33333333333333,0.533333333333333,308,5094.85545495571,1,1.67741935483871,827.173020527859,360,5.16761091904777,1,1,0,0,1,1,0,17.9473684210526,0.478748274664697,2.46644495855022,1115.87021881627,14845.5789473684,6878.71315789474,30.1052631578947,0.717430157511069,0.282569842488931,5.16761091904777,90621.0526315789,0.522459837170103,1,"44"
"219",40859,19.6133553173949,606.815333882935,405.161582852432,1031.59027205276,0.812793260812232,14.6521739130435,0.294853944731042,5,0.588888888888889,304,5294.23655095049,1,4.04333333333333,1951.19333333333,216.5,6.52865471487975,1,1,1,0,1,1,1,13.0434782608696,0.813767700756192,4.9197472817038,2325.84609370098,25450.347826087,3556.04130434783,52.7391304347826,0.881367035339249,0.118632964660752,6.52865471487975,145956.52173913,0.701543296526119,1,"45"
"221",41278,86.9,373.884,655.18,1115.964,1.45440166690673,22.8888888888889,0.207135223260094,5,0.8,295,3140.30432343045,1,1.59235668789809,1051.92356687898,205,4.31591538961929,0,0,0,0,0,0,0,17.4444444444444,0.423393587454475,2.34834455667789,1441.7446969697,18350.2222222222,5106.87962962963,27.7777777777778,0.797859946422468,0.202140053577532,4.31591538961929,81966.6666666667,0.655316133989496,1,"46"
"222",41509,31.6319444444444,330.736111111111,559.048611111111,921.416666666667,1.15814718217113,12.5555555555556,0.172056825565597,2.66666666666667,0.888888888888889,291,4263.49548989148,1,2,1058.16666666667,121,5.91065492557541,1,1,1,0,1,1,1,8,0.61290684624018,2.51560846560847,1326.16785714286,8465.33333333333,1585.73703703704,16,0.881743426235664,0.118256573764336,5.91065492557541,46122.2222222222,0.319352630075299,1,"47"
