"","rider_id","avg_assign","avg_pickup","avg_deliver","avg_waiting","avg_ODdist","daily_delivered_stores","daily_franchise_share","num_working_days","share_weekdays","tenure","avg_order_level","Treat","avg_orders_shift","avg_duration_shift","median_idle_shift","prof","prof30","prof50","prof70","prof90","prof_low","prof_med","prof_high","avg_total_shift","avg_share_aggshift","avg_orders_aggshift","avg_duration_aggshift","avg_working_duration","avg_idle_duration","daily_total_order","avg_share_workingd","avg_share_idled","avg_orders_per_workingd","avg_daily_profit","distance","weights","subclass"
"29",16899,42.7536882617062,500.003207184092,598.340602950609,1141.09749839641,1.03616025963789,13.8571428571429,0.411617796885654,6.33333333333333,0.682539682539683,794,5028.4254804463,1,3.02718446601942,1521.88737864078,266.5,5.66600522881444,1,1,0,0,1,1,0,18.3928571428571,0.637440122366752,4.10239368601942,1975.12586157345,27991.8571428571,6297.60714285714,55.6785714285714,0.831476453689257,0.168523546310743,5.66600522881444,167248.214285714,0.821346429726894,1,"64"
"30",17086,133.118733509235,658.775725593668,654.77308707124,1446.66754617414,1.15869147062888,10.5769230769231,0.154801355864109,5.66666666666667,0.644444444444444,788,3640.68100023857,1,2.20348837209302,1687.93023255814,44.9,4.58886141284088,0,0,0,0,0,0,0,6.61538461538461,0.575831113331113,3.15705128205128,2070.86098901099,11166.3076923077,926.491025641026,14.5769230769231,0.918785807512561,0.0812141924874385,4.58886141284088,43234.6153846154,0.748299555466404,1,"69"
"35",18074,102.39837398374,402.50135501355,595.143631436314,1100.0433604336,0.843855352606557,12.5882352941176,0.450648945812672,3.66666666666667,0.533333333333333,759,4769.95894544146,0,2.9758064516129,1575.82258064516,110,6.54297247659519,1,1,1,0,1,1,1,7.29411764705882,0.842169595110772,3.68501400560224,1883.57679738562,11494.2352941176,1132.12647058824,21.7058823529412,0.939144306170849,0.0608556938291511,6.54297247659519,61741.1764705882,0.385558168794382,1,"99"
"39",18179,90.3861003861004,413.787644787645,658.156370656371,1162.33011583012,0.853921104243032,17.0714285714286,0.334211066102736,3,0.333333333333333,756,5195.09312996498,0,3.7,1827.09285714286,99.5333333333333,6.67846131944796,1,1,1,1,1,1,1,10,0.812615063507921,5.06737885130742,2487.05524812489,18270.9285714286,1866.725,37,0.917100474597361,0.082899525402639,6.67846131944796,106635.714285714,0.497322348138752,1,"70"
"41",18252,64.3719008264463,439.096418732782,485.625344352617,989.093663911846,0.879792639067949,19.28,0.426703198336191,5.33333333333333,0.611111111111111,754,4846.6771887407,0,2.09021113243762,1305.38579654511,175,4.86039449673403,1,0,0,0,1,0,0,20.84,0.575089113739942,2.97403912427442,1779.89945824763,27204.24,5173.4,43.56,0.841996905598062,0.158003094401938,4.86039449673403,125060,0.778759881222062,1,"105"
"44",18598,132.166253101737,307.908188585608,562.178660049628,1002.25310173697,1.34515847589229,27.4,0.220309270869616,2,0,746,3244.4843892765,1,1.84862385321101,1018.68348623853,195,5.19333051225667,1,1,0,0,1,1,0,21.8,0.541337155195851,2.6521978021978,1376.20564102564,22207.3,5896.8,40.3,0.799697867001333,0.200302132998667,5.19333051225667,117890,0.381341410385669,1,"99"
"45",18883,71.901384083045,165.692041522491,457.743944636678,695.337370242215,1.07440212825492,14.962962962963,0.253306396924837,6.33333333333333,0.682539682539683,741,4615.29511055887,1,1.34731934731935,630.226107226107,224,5.3988118245487,1,1,0,0,1,1,0,15.8888888888889,0.262025102782173,2.15217893217893,841.637864357864,10013.5925925926,5051.61543209877,21.4074074074074,0.717633236530614,0.282366763469386,5.3988118245487,64259.2592592593,0.554093294246461,1,"103"
"47",19039,34.8502155172414,358.116379310345,526.650862068965,919.617456896552,0.924074791770751,16.5333333333333,0.250042999445577,7,0.714285714285714,738,4762.60138768455,0,2.17330210772834,1175.11475409836,189,5.50014980517027,1,1,0,0,1,1,0,14.2333333333333,0.572379027634446,2.9960384985385,1525.87801365301,16725.8,3630.40833333333,30.9333333333333,0.832171468189324,0.167828531810676,5.50014980517027,87106.6666666667,0.675069820455234,1,"77"
"48",19040,50.9989047097481,360.757940854326,473.679079956188,885.435925520263,0.976584499046767,13.9333333333333,0.265375242089638,7,0.714285714285714,738,4944.81971381807,0,2.189448441247,1160.6067146283,208.5,5.65739383376764,1,1,0,0,1,1,0,13.9,0.584956756493134,3.01722222222222,1483.12212602213,16132.4333333333,3852.17666666667,30.4333333333333,0.82073134136447,0.17926865863553,5.65739383376764,86143.3333333333,0.65075685705558,1,"44"
"49",19338,180.676470588235,523.676470588235,366.647058823529,1071,1.3403256662503,3.14285714285714,0.202380952380952,3,0.722222222222222,731,4401.87975072067,0,1.78947368421053,1052.65789473684,14.2,5.26908964853077,1,1,0,0,1,1,0,2.71428571428571,0.242857142857143,3.33333333333333,1744.58333333333,2857.21428571429,303.477420634921,4.85714285714286,0.950892502262641,0.0491074977373589,5.26908964853077,14742.8571428571,0.490292471615204,1,"20"
